Record Number,Common Name,Code,Latitude,Longitude,GPS certainty_meters,Locality,Elev_meters,Date,Observer,Breeding Evidence,Observation,Nest Species_Structure,Nest hgt meters,Comments,Sources,Photo,Photo Link,Scientific Name,
4390,Northern Mockingbird,NOMO,34.4249,-119.83522,100,"Goleta, Moffat Place nr James Fowler Rd",2,4-Jun-1995,"Holmgren, M.",Carrying Food,Carrying food,,,,Goleta Slough Basin A Holmgren 4 June 1995.pdf,,,#REF!,
4391,House Finch,HOFI,34.41808,-119.8352,10,"Goleta Slough, at bike bridge S of Moffat Place",1,4-Jun-1995,"Holmgren, M.",Egg in Nest,"nest with 5 eggs, female on nest.",bridge,,On girder nr N end of bike path bridge.,Goleta Slough Basin A Holmgren 4 June 1995.pdf,,,#REF!,
4392,Song Sparrow,SOSP,34.43198,-119.85159,80,"Goleta, Los Carneros Wetland",3,17-May-1988,"Holmgren, M.",Carrying Food,"Juv see, adult carrying food",,,,Los Carneros Wetland 17 May 1988.pdf,,,#REF!,
4393,Belding's Savannah Sparrow,BSSP,34.42259,-119.84811,30,"Goleta Slough, Area L/M",1,17-Jun-1995,"Holmgren, M.",Copulation,copulation,,,With Jamie Uyehara,"Goleta Slough Basins K, J, L&M Holmgren 17 June 1995.pdf",,,#REF!,
4394,Belding's Savannah Sparrow,BSSP,34.4238,-119.84854,30,"Goleta Slough, Area L/M",2,17-Jun-1995,"Holmgren, M.",Copulation,copulation,,,With Jamie Uyehara,"Goleta Slough Basins K, J, L&M Holmgren 17 June 1995.pdf",,,#REF!,
4395,Common Yellowthroat,COYE,34.42003,-119.84614,40,"Goleta Slough, Area J",2,17-Jun-1995,"Holmgren, M.",Carrying Food,female carrying food with male.,,,With Jamie Uyehara,"Goleta Slough Basins K, J, L&M Holmgren 17 June 1995.pdf",,,#REF!,
4396,Downy Woodpecker,DOWO,34.4197,-119.84477,100,"Goleta Slough, Area I",3,17-Jun-1995,"Holmgren, M.",Feeding Fledgling,male feeding very dependent fledgling,,,With Jamie Uyehara,"Goleta Slough Basins K, J, L&M Holmgren 17 June 1995.pdf",,,#REF!,
4397,Bushtit,BUSH,34.41878,-119.84456,100,"Goleta Slough, Area I",3,17-Jun-1995,"Holmgren, M.",Family Group in Close Association,family,,,With Jamie Uyehara,"Goleta Slough Basins K, J, L&M Holmgren 17 June 1995.pdf",,,#REF!,
4398,Great Horned Owl,GHOW,34.89762,-119.50642,10,"Cuyama Valley, nr Foothill X Hwy 33",794,18-Mar-2017,"Schneekloth, P.",Adult at Nest (clarify),Adult on nest,pine,6.1,photo,e-mail,https://goo.gl/btrJw5,https://goo.gl/btrJw5,#REF!,
4399,Green Heron,GRHE,34.41615,-119.8396,15,"Goleta Slough, S margin from UCSB",9,25-Jun-1995,"Holmgren, M.",Agitated Behavior (clarify),"Adult popped out of oaks and flew towards me me, across Mesa Rd, then back at me, then back to oaks; very concerned about my presence.",,,,1995_06_25_GS_MSE.pdf,,,#REF!,
4400,Mourning Dove,MODO,34.41961,-119.84704,50,"Goleta Slough, Area J",4,25-Jun-1995,"Holmgren, M.",Nestling in Nest,"2 nestlings with pin feathers just erupting, and with body down.",Coast Live Oak,0.9,S margin,1995_06_25_GS_MSE.pdf,,,#REF!,
4401,Northern Mockingbird,NOMO,34.41965,-119.84728,50,"Goleta Slough, Area J",4,25-Jun-1995,"Holmgren, M.",Nestling in Nest,"Nest overhanging edge of marsh too high to see into, but 2 nestlings visible with binoculars; adult carrying nightshade berry.",Coast Live Oak,1.8,S margin,1995_06_25_GS_MSE.pdf,,,#REF!,
4402,Spotted Towhee,SPTO,34.4196,-119.84755,50,"Goleta Slough, Area J",5,25-Jun-1995,"Holmgren, M.",Egg in Nest,"Female flushed from nest above (S of) Scirpus wetland on slope, 2 eggs, brownish, speckled.",ground,,S margin,1995_06_25_GS_MSE.pdf,,,#REF!,
4403,Red-winged Blackbird,RWBL,34.42011,-119.84691,40,"Goleta Slough, Area J",2,25-Jun-1995,"Holmgren, M.",Delivering Food to Nest or Cavity,Females and males of 3 pairs bring food back to marsh,Scirpus,,,1995_06_25_GS_MSE.pdf,,,#REF!,
4404,Belding's Savannah Sparrow,BSSP,34.41715,-119.8373,10,"Goleta Slough, Area A",1,3-May-1997,"Holmgren, M.",Copulation,copulation at edge of secondary channel,,,,"Goleta Slough Areas K, J, I, H, and A 3 May 1997.pdf",,,#REF!,
4405,Mallard,MALL,34.42047,-119.84744,50,"Goleta Slough, Area K",1,3-May-1997,"Holmgren, M.",Fledgling under Parental Care,female adult with 2 ducklings,,,E end of Area K,"Goleta Slough Areas K, J, I, H, and A 3 May 1997.pdf",,,#REF!,
4406,Red-winged Blackbird,RWBL,34.41992,-119.84622,50,"Goleta Slough, Area J",2,3-May-1997,"Holmgren, M.",Carrying Nesting Material,female perched in willow holding big wad of long grasses fow quite a while.,,,This was the only clear indication of blackbird nesting in Area J.,"Goleta Slough Areas K, J, I, H, and A 3 May 1997.pdf",,,#REF!,
4407,Belding's Savannah Sparrow,BSSP,34.42753,-119.85327,15,"Goleta Slough, Area R",2,9-Apr-1992,"Holmgren, M.",Agitated Behavior (clarify),Pair by territorial fidelity and concern shown for site,,,Tecolotito Ck immediately W of E-W runway. Note that runway was extended in the early 2000s; this observation is in the position of Tecolotito Creek in 1992.,Savannah Sparrows in periferal Goleta Slough.pdf,,,#REF!,
4408,Downy Woodpecker,DOWO,34.41725,-119.84217,25,"Goleta Slough, Area H",3,12-May-2010,"Holmgren, M.",Feeding Fledgling,"adult male feeding fully grown, but dependent fledgling.",,,,Goleta Slough SavSp survey 12 May 2010.pdf,,,#REF!,
4409,Red-winged Blackbird,RWBL,34.42531,-119.83495,25,"Goleta Slough, isolated marsh at Fowler Rd X Moffat Place",2,11-Jun-1995,"Uyehara, J.",Feeding Fledgling,"begging fledgling fed by female next to fence, 6+ fledglings present",,,,Uyehara field notes in CCBER archive,,,#REF!,
4410,Red-winged Blackbird,RWBL,34.42567,-119.83209,50,"Goleta Slough, isolated marsh along Fowler Rd",2,11-Jun-1995,"Uyehara, J.",Fledgling with Presumed Parent,colony with juvs,,,,Uyehara field notes in CCBER archive,,,#REF!,
4411,Common Yellowthroat,COYE,34.42016,-119.85571,75,"Goleta Slough, East Storke Campus Wetland (UCSB)",7,14-Jun-1995,"Holmgren, M.",Feeding Fledgling,male feeding juvenile,,,near Aviary (immediately W of Harder Stadium),Goleta Slough East Storke Campus Wetlands 14 June 1995.pdf,,,#REF!,
4412,Downy Woodpecker,DOWO,34.42075,-119.85578,50,"Goleta Slough, East Storke Campus Wetland (UCSB)",3,14-Jun-1995,"Holmgren, M.",Feeding Fledgling,male feeding dependent fledgling,,,near Aviary (immediately W of Harder Stadium),Goleta Slough E and W Storke Campus Wetlands 14 June 1995.pdf,,,#REF!,
4413,Song Sparrow,SOSP,34.42137,-119.85703,100,"Goleta Slough, East Storke Campus Wetland (UCSB)",0,14-Jun-1995,"Holmgren, M.",Territorial Defense,adult defending nest,,,,Goleta Slough East Storke Campus Wetlands 14 June 1995.pdf,,,#REF!,
4414,Black Phoebe,BLPH,34.42145,-119.86078,50,"Goleta Slough, West Storke Campus Wetland",1,14-Jun-1995,"Holmgren, M.",Fledgling under Parental Care,fledgling under parental care plus adult,,,,Goleta Slough E and W Storke Campus Wetlands 14 June 1995.pdf,,,#REF!,
4415,European Starling,EUST,34.78175,-120.51301,15,"N VAFB, San Antonio Creek",64,7-Jun-1995,"Holmgren, M.",Delivering Food to Nest or Cavity,feeding nest holes,Eucalyptus,,"San Antonio Creek, area nr Richmond Rd X Grant Rd",VAFB N 7 June 1995.pdf,,,#REF!,
4416,Wrentit,WREN,34.78603,-120.51292,161,"N VAFB, Grant Rd",73,7-Jun-1995,"Holmgren, M.",Family Group in Close Association,family of 6,,,,VAFB N 7 June 1995.pdf,,,#REF!,
4417,Song Sparrow,SOSP,34.7905,-120.51346,320,"N VAFB, Grant Rd",88,7-Jun-1995,"Holmgren, M.",Fledgling under Parental Care,fledgling under parental care,,,,VAFB N 7 June 1995.pdf,,,#REF!,
4418,Mourning Dove,MODO,34.7808,-120.51134,115,"N VAFB, San Antonio Creek",51,7-Jun-1995,"Holmgren, M.",Carrying Nesting Material,carrying nest material,,,San Antonio Creek nr Grant Rd,VAFB N 7 June 1995.pdf,,,#REF!,
4419,Scaly-breasted Munia,SBMU,34.41558,-119.88328,15,"Goleta, COPR, Dune Pond",15,26-Feb-2014,"Storrer, J.",Nest Building,nest construction,Myoporum,2.4,"Nest the size of a soccer ball, nearly complete.",e-mail 19 March 2017,,,#REF!,
4420,Long-eared Owl,LEOW,34.702,-119.574,,"Sierra Madre Mtns, ",,18-Mar-2017,,Courtship or Display,"Adults counter-calling. One was calling (single 'hoop' notes) from a juniper, and was seen. A second was answering at a different pitch.",,,"They started singing at dusk, ~1930 hrs, and we heard them several times over the next few hours. Later we mostly heard a single owl calling. 2 individuals reported at this location on eBird on 30 Jan 2017.",e-mail to MAH on 20 March 2017,,,#REF!,
4421,Loggerhead Shrike,LOSH,34.72762,-120.54181,100,"N VAFB, Contonement Area",134,7-Jun-1995,"Holmgren, M.",Fledgling Begging,Fledgling begging from adult in tree.,,,,VAFB N 7 June 1995.pdf,,,#REF!,
4422,Bushtit,BUSH,34.4509,-119.92206,20,"Goleta, Farren Rd",115,20-Apr-2014,"Compton, D.",Nestling in Nest,nest with begging nestlings,Coast Live Oak,,"With Keefe, H.",observer,,,#REF!,
4423,Western Bluebird,WEBL,34.44528,-119.92258,20,"Goleta, Farren Rd",96,20-Apr-2014,"Compton, D.",Delivering Food to Nest or Cavity,food delivery to nest cavity,utility pole,6,,observer,,,#REF!,
4424,Cliff Swallow,CLSW,34.44627,-119.92826,20,"Gaviota Coast, Eagle Cyn",22,20-Apr-2014,"Compton, D.",Nest Building,approx 80 building nests,agricultural structure,4,Seen from Farren Road.,observer,,,#REF!,
4425,Great Blue Heron,GBHE,34.41461,-119.87793,10,"Goleta, COPR, W side of Devereux Slough",2,20-Mar-2017,"Holmgren, M.",Adult at Nest (clarify),"3 nests in same tree that has been used for 2 previous years on W side of slough; each nest occupied. On 20 May 2017, Compton reports 2 nests with small nestling. 3 adults present.",Eucalyptus,13,"Observed with Nielsen, J. and O'Loghlen, A.",S35317326,,,#REF!,
4426,Nuttall's Woodpecker,NUWO,34.4584,-119.76518,400,"San Marcos Foothills, West Mesa",117,12-Jun-1998,"Holmgren, M.",Family Group in Close Association,family group,,,"With Mason, L.  NE of Via Gaitero",Atascadero Creek [SMF] 12 June 1998.pdf,,,#REF!,
4427,California Scrub-Jay,CASJ,34.45862,-119.76074,150,"San Marcos Foothills, Atascadero Ck",97,2-May-1999,"Holmgren, M.",Carrying Food,food carry,,,"With Ball, M.  lower Atascadero Creek",San Marcos Foothills 2 May 99.pdf,,,#REF!,
4428,Cliff Swallow,CLSW,34.46047,-119.75702,20,"San Marcos Foothills, No-name Creek",118,16-May-1999,"Holmgren, M.",Nest Building,gathering mud at spring,,,along west bank of No-name Creek,San Marcos Foothills 16 May 99.doc,,,#REF!,
4429,Oak Titmouse,OATI,34.45846,-119.75638,150,"San Marcos Foothills, No-name Creek",103,16-May-1999,"Holmgren, M.",Family Group in Close Association,family group,,,,San Marcos Foothills 16 May 99.doc,,,#REF!,
4430,Nuttall's Woodpecker,NUWO,34.45929,-119.7658,100,"San Marcos Foothills, Hidden Cyn",130,17-May-1999,"Holmgren, M.",Delivering Food to Nest or Cavity,"nest, adults feeding nestlings in dead trunk.",,,Cyn E of West Mesa,San Marcos Foothills 17 May 99.doc,,,#REF!,
4431,California Quail,CAQU,34.45827,-119.76564,40,"San Marcos Foothills, West Mesa",131,26-May-1999,"Holmgren, M.",Egg in Nest,nest with 8 predated eggs,,,"With Kelly, M. breeding evidence. Along rim overlooking canyon just NE Via Gaitero gate.",San Marcos Foothills 26 May 99.pdf,,,#REF!,
4432,European Starling,EUST,34.46204,-119.76863,15,"San Marcos Foothills, West Mesa",174,26-May-1999,"Holmgren, M.",Carrying Food,10 min individuals all gathering insects in grassland then carrying it to spots W of West Mesa.,,,"With Kelly, M. breeding support",San Marcos Foothills 26 May 99.pdf,,,#REF!,
4433,Lark Sparrow,LASP,34.4641,-119.76973,75,"San Marcos Foothills, West Mesa",163,6-Jun-1999,"Holmgren, M.",Feeding Fledgling,adult feeding 3 fledglings,,,NW corner of West Mesa,find originals to scan,,,#REF!,
4434,Black Phoebe,BLPH,34.46028,-119.75705,,"San Marcos Foothills, No-name Creek",116,13-Jun-1999,"Holmgren, M.",Family Group in Close Association,several fledglings at spring,,,at 'spring',San Marcos Foothills 13 June 99 final.pdf,,,#REF!,
4435,House Wren,HOWR,34.45822,-119.75635,75,"San Marcos Foothills, No-name Creek",102,13-Jun-1999,"Kelly, M.",Family Group in Close Association,family group of 4 fledglings,,,,San Marcos Foothills 13 June 99 final.pdf,,,#REF!,
4436,Red-tailed Hawk,RTHA,34.45851,-119.76872,10,"San Marcos Foothills, West Mesa",138,13-Jun-1999,"Holmgren, M.",Nestling in Nest,adult with 2 chix in nest,Coast Live Oak,,193m WNW Via Gaitero Gate,San Marcos Foothills 13 June 99 final.pdf,,,#REF!,
4437,Phainopepla,PHAI,34.46002,-119.76617,,"San Marcos Foothills, Hidden Cyn",145,13-Jun-1999,"Holmgren, M.",Adult at Nest (clarify),female trying to get in to nest,Coast Live Oak,3.6,,San Marcos Foothills 13 June 99 final.pdf,,,#REF!,
4438,Northern Mockingbird,NOMO,34.45639,-119.76664,50,"San Marcos Foothills, West Mesa",125,14-Jun-1999,"Holmgren, M.",Carrying Food,carrying food,,,"With Rothstein, S.  Along Via Gaitero",San Marcos Foothills 14 June 99.doc,,,#REF!,
4439,Lark Sparrow,LASP,34.46321,-119.76764,100,"San Marcos Foothills, West Mesa",186,14-Jun-1999,"Holmgren, M.",Fledgling under Parental Care,Fledglings with adults on the rocks in grassland,,,"With Rothstein, S.",San Marcos Foothills 14 June 99.doc,,,#REF!,
4440,House Finch,HOFI,34.4633,-119.75691,100,"San Marcos Foothills, Central",176,11-Jul-1999,"Holmgren, M.",Feeding Fledgling,adult feeding fledgling in tow,,,"With Meisel, H. Oak Woodland NE of Brown home",San Marcos Foothills 11 July 99.doc,,,#REF!,
4441,Phainopepla,PHAI,34.46291,-119.75738,100,"San Marcos Foothills, Central",168,11-Jul-1999,"Holmgren, M.",Nestling in Nest,nesting pair with feathered nestling,Coast Live Oak,,"With Meisel, H. Oak Woodland NE of Brown home",San Marcos Foothills 11 July 99.doc,,,#REF!,
4442,Rufous-crowned Sparrow,RCSP,34.46383,-119.75747,50,"San Marcos Foothills, Central",190,11-Jul-1999,"Holmgren, M.",Agitated Behavior (clarify),Pair very agitated,,,"Just south of Cactus grove. Oak Woodland NE of Brown home.  With Meisel, H.",San Marcos Foothills 11 July 99.doc,,,#REF!,
4443,Song Sparrow,SOSP,34.45645,-119.75558,,"San Marcos Foothills, No-name Creek",90,11-Jul-1999,"Holmgren, M.",Fledgling under Parental Care,Barely flying juv near cattails,,,"With Meisel, H.  S end of No-name Creek",San Marcos Foothills 11 July 99.doc,,,#REF!,
4444,Grasshopper Sparrow,GRSP,34.45844,-119.75773,25,"San Marcos Foothills, Central",116,11-Jul-1999,"Holmgren, M.",Family Group in Close Association,"Group of 3 in close association included 1 adult for sure, which may have been carrying food.",,,On knoll immediatley E of Brown inholding.,San Marcos Foothills 11 July 99.doc,,,#REF!,
4445,Grasshopper Sparrow,GRSP,34.4623,-119.77042,75,"San Marcos Foothills, West Mesa",167,14-Jun-1999,"Holmgren, M.",Family Group in Close Association,1 family with 2 or 3 fledglings loosely associated,,,"With Rothstein, S.",San Marcos Foothills 14 June 99.doc,,,#REF!,
4446,Grasshopper Sparrow,GRSP,34.46396,-119.76602,75,"San Marcos Foothills, West Mesa",179,20-Jun-1999,"Holmgren, M.",Delivering Food to Nest or Cavity,Pair carrying food gave the 2-note 'tsi-dic' for several minutes while we watched them. Finally the food carrier ate the large food wad.,,,"With Ball, M. on E-facing slope S of old Burrowing Owl spot.",San Marcos Foothills 20 June 99.doc,,,#REF!,
4447,Common Raven,CORA,34.4579,-119.76667,5,"San Marcos Foothills, West Mesa",138,28-Jun-1999,"Holmgren, M.",Family Group in Close Association,"2 adults, 2 fledglings perched magnificently along the crest of the oak. Earlier in season adult was seen carrying food to the N of SMF. On 11 July 1999, 6 individuals flying around SMF were a family group.",,,"With Labinger, Z. Either 28 or 29 June 1999?",San Marcos Foothills 29 June 99.doc,,,#REF!,
4448,Ash-throated Flycatcher,ATFL,34.4602,-119.76127,200,"San Marcos Foothills, Atascadero Ck",104,13-Jul-1999,"Holmgren, M.",Fledgling under Parental Care,3 stub-tailed fledglings with 2 calling adults,,,,San Marcos Foothills 13 July 99.pdf,,,#REF!,
4449,Black-chinned Hummingbird,BCHU,34.46071,-119.76176,200,"San Marcos Foothills, Atascadero Ck",107,13-Jul-1999,"Holmgren, M.",Juvenile Independent,Juv seen,,,adult male also seen near here.,San Marcos Foothills 13 July 99.pdf,,,#REF!,
4450,California Quail,CAQU,34.46095,-119.76108,200,"San Marcos Foothills, Atascadero Ck",110,13-Jul-1999,"Holmgren, M.",Fledgling under Parental Care,2 baby-baseball-sized fledglings,,,,San Marcos Foothills 13 July 99.pdf,,,#REF!,
4451,Pacific-slope Flycatcher,PSFL,34.46159,-119.76178,200,"San Marcos Foothills, Atascadero Ck",112,13-Jul-1999,"Holmgren, M.",Fledgling under Parental Care,2 fledglings in presence of an adult,,,,San Marcos Foothills 13 July 99.pdf,,,#REF!,
4452,California Towhee,CALT,34.45869,-119.76618,50,"San Marcos Foothills, West Mesa",141,23-Jul-1999,"Kelly, M.",Fledgling with Presumed Parent,1 fledgling presumed with parent,,,"NE of Via Gaitero Rd. With Holmgren, M.",San Marcos Foothills 23 July 99.pdf,,,#REF!,
4453,Mourning Dove,MODO,34.46447,-119.76755,50,"San Marcos Foothills, West Mesa",194,23-Jul-1999,"Holmgren, M.",Visiting Probable Nest Site,nest initiation,,,N end of West Mesa. Juvs among 30 or so individuals present.,San Marcos Foothills 23 July 99.pdf,,,#REF!,
4454,Greater Roadrunner,GRRO,34.46371,-119.76932,10,"San Marcos Foothills, West Mesa",167,23-Jul-1999,"Holmgren, M.",Dead (Museum) specimen,dead juvenile in bathtub,,,"at bathtub Spring. Date of demise not known. With Kelly, M.",San Marcos Foothills 23 July 99.pdf,,,#REF!,
4455,Northern Mockingbird,NOMO,34.46401,-119.76986,50,"San Marcos Foothills, West Mesa",163,23-Jul-1999,"Holmgren, M.",Carrying Food,1 adult carrying food,,,,San Marcos Foothills 23 July 99.pdf,,,#REF!,
4456,Northern Mockingbird,NOMO,34.46163,-119.77053,75,"San Marcos Foothills, West Mesa",156,23-Jul-1999,"Holmgren, M.",Family Group in Close Association,3 juvs together with 4th individual.,,,,San Marcos Foothills 23 July 99.pdf,,,#REF!,
4457,American Kestrel,AMKE,34.46211,-119.76749,250,"San Marcos Foothills, West Mesa",177,23-Jul-1999,"Holmgren, M.",Family Group in Close Association,family group of 6 individuals.,,,,San Marcos Foothills 23 July 99.pdf,,,#REF!,
4458,Wrentit,WREN,34.45402,-119.76407,100,"San Marcos Foothills, West Mesa",90,19-Mar-2000,"Holmgren, M.",Carrying Nesting Material,adult carrying nest material,,,At SW corner,San Marcos Foothills 19 March 2000.pdf,,,#REF!,
4459,Common Raven,CORA,34.46852,-119.77174,500,"San Marcos Foothills, West Mesa",165,13-May-2000,"Holmgren, M.",Carrying Food,pair carrying food to N to power poles in forest in line with western property boundary.,,,SMF providing breeding support (food) for nesting offsite. Many contradictions in this note set.,notes not scanned,,,#REF!,
4460,European Starling,EUST,34.4622,-119.76961,100,"San Marcos Foothills, West Mesa",171,13-May-2000,"Holmgren, M.",Carrying Food,23 individuals carrying food from West Mesa westward of Hwy 154.,,,Breeding support,notes not scanned,,,#REF!,
4461,Phainopepla,PHAI,34.46469,-119.76917,25,"San Marcos Foothills, West Mesa",169,13-May-2000,"Holmgren, M.",Carrying Nesting Material,male carrying nesting material to oak 20m S of northern property line.,Coast Live Oak,,2 other pairs present.  San Antonio Creek at NW corner of SMF,notes not scanned,,,#REF!,
4462,Grasshopper Sparrow,GRSP,34.46157,-119.76679,50,"San Marcos Foothills, West Mesa",173,11-Jun-2000,"Holmgren, M.",Fledgling under Parental Care,adult with fledgling,,,at head of Hidden Cyn,map not scanned,,,#REF!,
4463,Song Sparrow,SOSP,34.45985,-119.75373,25,"San Marcos Foothills, Cieneguitas Ck",107,2-Jul-2000,"Holmgren, M.",Aborted nesting,"Terminated nest along Cieneguitas Creek, no waxy powder in nest, 1.5' from creek top",Coast Live Oak,,"no waxy powder in nest, 1.5' from creek top,",San Marcos Foothills 2 July 2000.pdf,,,#REF!,
4464,House Sparrow,HOSP,34.45739,-119.76684,25,"San Marcos Foothills, West Mesa",133,2-Jul-2000,"Holmgren, M.",Fledgling under Parental Care,2 fledglings under female PC. Another female carrying food across hwy 154.,,,along fence at Via Gaitero,San Marcos Foothills 2 July 2000.pdf,,,#REF!,
4465,Western Kingbird,WEKI,34.46292,-119.77094,20,"San Marcos Foothills, West Mesa",162,2-Jul-2000,"Holmgren, M.",Fledgling under Parental Care,"2 in juvenal plumage among 4 individuals, adults always nearby.",,,foraging to E and W of Via Gaitero,San Marcos Foothills 2 July 2000.pdf,,,#REF!,
4466,Northern Mockingbird,NOMO,34.45777,-119.76695,25,"San Marcos Foothills, West Mesa",138,2-Jul-2000,"Holmgren, M.",Feeding Fledgling,carrying food and delivering to fledgling with 3/4 grown tail,Eucalyptus,,at N end Via Gaitero.,San Marcos Foothills 2 July 2000.pdf,,,#REF!,
4467,Lark Sparrow,LASP,34.45668,-119.76657,50,"San Marcos Foothills, West Mesa",128,2-Jul-2000,"Holmgren, M.",Fledgling under Parental Care,"juvs seen on Via Gaitero fence, ad carrying food across hwy 154",,,,San Marcos Foothills 2 July 2000.pdf,,,#REF!,
4468,Eurasian Collared-Dove,EUCD,34.4498032,-119.7582228,20,"Santa Barbara, nr Cieneguitas x Foothill",64,22-Jan-2014,"Compton, D.",Nestling in Nest,"adult brooding 2+ nestlings. On 31 Jan 2014, Compton saw 2 large nestlings",ornamental,,,observer,,,#REF!,
4469,American Crow,AMCR,34.4497707,-119.7544676,20,"Santa Barbara, nr Cieneguitas x Foothill",75,1-Mar-2014,"Compton, D.",Carrying Nesting Material,nest material carry,,,,observer,,,#REF!,
4470,Mourning Dove,MODO,34.433451,-119.8361916,20,Santa Barbara Municipal Airport,4,13-Mar-2014,"Compton, D.",Nest Building,nest building,wooden trellise,,,observer,,,#REF!,
4471,Dark-eyed Junco,DEJU,34.4157082,-119.5701372,20,"Carpinteria, Padaro Lane",13,28-Mar-2014,"Compton, D.",Egg in Nest,nest with 4 eggs,ground,4,,observer,,,#REF!,
4472,Bushtit,BUSH,34.4155409,-119.5712308,10,"Carpinteria, Padaro Lane",13,28-Mar-2014,"Compton, D.",Nest Building,pair building nest,Coast Live Oak,4,,observer,,,#REF!,
4473,House Wren,HOWR,34.5054776,-119.8181602,100,"Santa Ynez Mtns, Kinevan Rd",608,29-Mar-2014,"Compton, D.",Delivering Food to Nest or Cavity,food delivery to nest,stump,,"With Keefe, H.",observer,,,#REF!,
4474,Dark-eyed Junco,DEJU,34.4387109,-119.7242703,10,"Santa Barbara, nr Alamar x State St",65,10-Apr-2014,"Compton, D.",Feeding Fledgling,adult feeding fledgling,,,,observer,,,#REF!,
4475,Bushtit,BUSH,34.7309908,-119.9539457,100,"Ranger Pk, E Pinery Rd",1308,12-Apr-2014,"Compton, D.",Carrying Nesting Material,nest material carry,,,,observer,,,#REF!,
4476,Lark Sparrow,LASP,34.7352623,-120.0006889,25,Figueroa Mtn Rd nr Tunnel Rd,1025,12-Apr-2014,"Compton, D.",Carrying Food,food carry,,,,observer,,,#REF!,
4477,Eurasian Collared-Dove,EUCD,34.4498032,-119.7582228,20,"Santa Barbara, nr Cieneguitas x Foothill",64,13-Apr-2014,"Compton, D.",Nestling in Nest,a brooding 1+ nestling,ornamental,,,observer,,,#REF!,
4478,Black-necked Stilt,BNST,34.4236941,-119.8316738,90,Goleta Sanitary District Plant,4,23-Apr-2014,"van Dam, W.",Fledgling under Parental Care,4 chicks,,0,,observer,,,#REF!,
4479,Mallard,MALL,34.421139,-119.8481435,100,"Goleta Slough, Area K",1,26-Apr-2014,"Compton, D.",Fledgling under Parental Care,2 less than 1 week old ducklings with female,,,,observer,,,#REF!,
4480,Dark-eyed Junco,DEJU,34.505685,-120.065542,20,"Gaviota Coast, Refugio Rd",120,27-Apr-2014,"Compton, D.",Feeding Fledgling,female feeding  fledgling,,,nr Circle Bar B,observer,,,#REF!,
4481,Cliff Swallow,CLSW,34.41771,-119.83521,20,"Goleta Slough, Tecolotito Ck",2,2-May-2014,"Compton, D.",Nest Building,50+ nests being built,bridge,,bike bridge,observer,,,#REF!,
4482,Pied-billed Grebe,PBGR,34.3911468,-119.5192311,70,Carpinteria Ck Estuary,1,10-May-2014,"Denholtz, R.",Egg in Nest,5 eggs,,,,,,,#REF!,
4483,Canada Goose,CANG,34.421758,-119.8498,100,"Goleta Slough, Area K",4,11-May-2014,"Compton, D.",Fledgling under Parental Care,2 adults with 3 small goslings,,0,,observer,,,#REF!,
4484,Killdeer,KILL,34.4286875,-119.8580274,20,"Goleta Slough, Carneros Ck X Tecolotito Ck",3,11-May-2014,"Compton, D.",Egg in Nest,"Nest with 3 eggs. On 17 May 2014, Compton saw nest with 3 eggs.",gravel rd,5,,observer,,,#REF!,
4485,California Towhee,CALT,34.4168229,-119.8704148,20,"Goleta, Slough Rd nr Storke Rd",12,16-May-2014,"Compton, D.",Carrying Food,food carry,,,,observer,,,#REF!,
4486,House Finch,HOFI,34.41959,-119.85463,20,"Goleta, UCSB, CCBER",10,16-May-2014,"Compton, D.",Adult at Nest (clarify),Female brooding/incubating,tree,,building,,,,#REF!,
4487,Western Bluebird,WEBL,34.4199954,-119.8585145,20,"Goleta, UCSB E Storke Campus",7,16-May-2014,"Compton, D.",Delivering Food to Nest or Cavity,food delivery to begging nestlings,agave,5,dead agave,observer,,,#REF!,
4488,House Wren,HOWR,34.4200155,-119.8576559,20,"Goleta, UCSB E Storke Campus",8,16-May-2014,"Compton, D.",Delivering Food to Nest or Cavity,food delivery to begging nestlings,Monterey Cypress,5,,observer,,,#REF!,
4489,Cliff Swallow,CLSW,34.420104,-119.8623471,20,Isla Vista,4,16-May-2014,"Compton, D.",Nest Building,25 nests being built or complete,building,4,nr Los Carneros x El Colegio,observer,,,#REF!,
4490,Cliff Swallow,CLSW,34.420427,-119.8550919,20,"Goleta, UCSB, Harder Stadium",10,16-May-2014,"Compton, D.",Nest Building,Minimum 80 nests being built or completed,building,10,,observer,,,#REF!,
4491,Red-tailed Hawk,RTHA,34.421,-119.85765,20,"Goleta Slough, East Storke Campus Wetland (UCSB)",3,16-May-2014,"Compton, D.",Nestling in Nest,1+ nestling,Blue Gum Eucalyptus,20,,observer,,,#REF!,
4492,Mallard,MALL,34.42173,-119.84953,50,"Goleta Slough, Area K",3,17-May-2014,"Compton, D.",Fledgling under Parental Care,Female with 3 small ducklings,,,,observer,,,#REF!,
4493,Killdeer,KILL,34.4248151,-119.8482139,0,"Goleta Slough, Area E/F",1,17-May-2014,"Compton, D.",Fledgling under Parental Care,3 small chicks,,,,observer,,,#REF!,
4494,Cliff Swallow,CLSW,34.429005,-119.8579403,30,"Goleta Slough, Carneros Ck X Tecolotito Ck",5,17-May-2014,"Compton, D.",Carrying Nesting Material,40 gathering nest material (mud),bridge,,,observer,,,#REF!,
